"PHB3.MID46-48.P1.apr13","S1HB3.MID96-96.P1.dec13","S1HB3.MID110-110.P1.jan14","S1HB3.MID109-109.P3.jan14","S1HB3.MID102-102.P1.nov13","S2HB3.MID109-109.P1.dec15","S2HB3.MID109-109.P2.dec15","S2HB3.MID109-109.P3.dec15","S2HB3.MID109-109.P4.dec15","S2HB3.MID109-109.P5.dec15","S2HB3.MID109-109.P6.dec15","S3HB3.MID109-109.P1.May16","S3HB3.MID109-109.P2.May16","S3HB3.MID109-109.P3.May16","S3HB3.MID109-109.P4.May16","S3HB3.MID109-109.P5.May16","S3HB3.MID109-109.P6.May16","S4MRSHB3.MID109-109.P1.Dec16","S4MRSHB3.MID109-109.P2.Dec16","S4MRSHB3.MID109-109.P3.Dec16","S4MRSHB3.MID109-109.P4.Dec16","S4MRSHB3.MID109-109.P5.Dec16","S4MRSHB3.MID109-109.P6.Dec16","S5MRSHB3.MID2-2.P1.Jun17","S5MRSHB3.MID2-2.P2.Jun17","S5MRSHB3.MID2-2.P3.Jun17","S5MRSHB3.MID2-2.P4.Jun17","S5MRSHB3.MID2-2.P5.Jun17","S5MRSHB3.MID2-2.P6.Jun17","S6MRSHB3.MID109-109.P1.May18","S6MRSHB3.MID109-109.P2.May18","S6MRSHB3.MID109-109.P3.May18","S6MRSHB3.MID109-109.P4.May18","HB3.MID2-2.P1.dec16","HB3.MID2-2.P2.dec16","HB3.MID2-2.P3.dec16","HB3.MID2-2.P4.dec16","DBLa_counts","Ups"
"M00123:115:000000000-AWP2U:1:1115:17784:8446","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00123:98:000000000-AWVWT:1:1118:16906:14776","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","36","BC"
"M00123:163:000000000-B5J7V:1:1106:20545:14290","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00123:163:000000000-B5J7V:1:1114:18684:5685","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00123:98:000000000-AWVWT:1:1105:18346:12072","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","37","BC"
"M00123:98:000000000-AWVWT:1:2104:24635:9395","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","35","BC"
"M01896:15:000000000-A7EN9:1:2118:7028:9792","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 1","A"
"M01896:2:000000000-A69JN:1:1106:27650:14997","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"," 1","BC"
"M00566:99:000000000-AWHWF:1:2118:20597:3541","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","21","A"
"M00566:160:000000000-B5GTN:1:2107:25357:11930","0","0","0","0","1","0","0","1","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","28","BC"
"M00566:160:000000000-B5GTN:1:1113:4846:15908","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"," 1","A"
"M00566:161:000000000-B5HBJ:1:2110:16461:12088","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0"," 2","A"
"M00123:163:000000000-B5J7V:1:1119:18591:24911","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"," 1","BC"
"M00123:211:000000000-BYH2N:1:1117:8498:20529","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"," 1","BC"
